,X,Y,objectid,Designação,nome_escola,endereco,bairro,cre,cod_atividade,globalid,cod_microarea,Código da Escola_x,Nome da Escola_x,Média - 6º a 9º ano,Taxa de Aprovação - 2021 - 6º,Taxa de Aprovação - 2021 - 7º,Taxa de Aprovação - 2021 - 8º,Taxa de Aprovação - 2021 - 9º,Indicador de Rendimento (P)_x,Nota SAEB - 2021 - Matemática_x,Nota SAEB - 2021 - Língua Portuguesa_x,Nota SAEB - 2021 - Nota Média Padronizada (N),IDEB 2021 (N x P)_x,Código da Escola_y,Nome da Escola_y,Taxa de Aprovação - 2021 - 1º ao 5º ano,Taxa de Aprovação - 2021 - 1º,Taxa de Aprovação - 2021 - 2º,Taxa de Aprovação - 2021 - 3º,Taxa de Aprovação - 2021 - 4º,Taxa de Aprovação - 2021 - 5º,Indicador de Rendimento (P)_y,Nota SAEB - 2021 - Matemática_y,Nota SAEB - 2021 - Língua Portuguesa_y,Nota Média Padronizada (N),IDEB 2021 (N x P)_y
0,-43.2529384907352,-22.9935586631666,16229.0,227004,Escola Municipal Rinaldo De Lamare,"Avenida Niemeyer, 776  ",Rocinha,2.0,1.0,{52C57AB8-972A-4DAF-B3A9-8B8B689C98F0},2.10,,,,,,,,,,,,,,,,,,,,,,,,,
1,-43.2227089941375,-22.9793950768636,16230.0,206024,Escola Municipal Sergio Vieira de Mello,"Rua Adalberto Ferreira, 19  ",Leblon,2.0,1.0,{0BC0B627-149C-4EF2-ACE3-7C0B3780AC91},2.5,,,,,,,,,,,,,33146292.0,ESCOLA MUNICIPAL SERGIO VIEIRA DE MELLO,100.0,100,100,100,100,100.0,1.0,218.56,211.61,5.9825,6.0
2,-43.1810528603599,-22.9340014467593,16231.0,204021,Escola Municipal Senador Corrêa,Rua Esteves Junior Nº 42  ,Laranjeiras,2.0,1.0,{3ADF744E-9D00-4905-BFB9-9BDF29CAC69D},2.1,,,,,,,,,,,,,,,,,,,,,,,,,
3,-43.188093160443,-22.903782936608,16232.0,102004,Escola Municipal Rivadavia Corrêa,"Av. Pres. Vargas, 1.314  ",Centro,1.0,1.0,{1410326F-9585-42C0-BCD6-DA28D3601A10},1.6,,,,,,,,,,,,,,,,,,,,,,,,,
4,-43.2339363233729,-22.8922195364119,16233.0,107501,Escola Municipal Edmundo Bittencourt,"Rua Lopes Trovão, 287  ",Benfica,1.0,1.0,{EF28E061-20D6-4CBC-AC2C-E920E4E305EE},1.2,,,,,,,,,,,,,33066248.0,ESCOLA MUNICIPAL EDMUNDO BITTENCOURT,100.0,100,100,100,100,100.0,1.0,215.63,205.98,5.82422,5.8
5,-43.2241024368916,-22.8784345626133,16234.0,101009,Escola Municipal Professor Walter Carlos de Magalhães Fraenkel,"Rua Carlos Seidl, 1.141  ",Caju,1.0,1.0,{8FDEA104-7B9B-4147-9E17-835A4166D22F},1.1,33062498.0,ESCOLA MUNICIPAL PROFESSOR WALTER CARLOS DE MAGALHAES FRAENKEL,100.0,100,100.0,100.0,100.0,1.0,245.08,253.6,4.978,5.0,,,,,,,,,,,,,
6,-43.1821524718264,-22.9111939316168,16235.0,102505,CIEP José Pedro Varela,"Rua do Lavradio, 133  ",Centro,1.0,3.0,{1CA9CB48-3B6C-4936-827D-49DD4515DB63},1.7,,,,,,,,,,,,,33062587.0,CIEP JOSE PEDRO VARELA,99.5,100,100,98.7,100,98.4,0.994148,224.87,209.5,6.064556,6.0
7,-43.2116756419639,-22.9116580317942,16236.0,208002,Escola Municipal Reverendo Martin Luther King,"Rua Joaquim Palhares, 648  ",Praça da Bandeira,2.0,1.0,{5DC4E294-2384-4D5C-ABDE-4D32DF1D83EF},2.15,33063192.0,ESCOLA MUNICIPAL REVERENDO MARTIN LUTHER KING,100.0,100,100.0,100.0,100.0,1.0,268.85,267.74,5.609833,5.6,33063192.0,ESCOLA MUNICIPAL REVERENDO MARTIN LUTHER KING,100.0,100,100,100,100,100.0,1.0,207.76,191.22,5.405666,5.4
8,-43.2531406844925,-22.9404923278708,16237.0,208502,CIEP Doutor Antoine Magarinos Torres Filho,"Rua São Miguel, S/Nº  ",Tijuca,2.0,3.0,{CD577335-D300-487B-956C-15F52CD1C54D},2.11,,,,,,,,,,,,,33066507.0,CIEP DOUTOR ANTOINE MAGARINOS TORRES FILHO,100.0,100,100,100,100,100.0,1.0,194.85,181.81,4.988201,5.0
9,-43.2422340076182,-22.9204186542976,16238.0,209013,Escola Municipal Francisco Manuel,"Rua Senador Soares, 61  ",Vila Isabel,2.0,1.0,{A07AEC42-BF0C-4154-8628-89940359C7A1},2.15,33068283.0,ESCOLA MUNICIPAL FRANCISCO MANUEL,95.8,95.2,96.7,95.5,95.4,0.956964,271.88,275.17,5.784167,5.5,,,,,,,,,,,,,
10,-43.2521259716329,-22.921145523889,16239.0,209021,Escola Municipal Presidente João Goulart,"Rua Barão de Mesquita, 850  ",Andarai,2.0,1.0,{16EFC3FB-E448-4783-93C1-357B0F8D39F3},2.16,,,,,,,,,,,,,33068372.0,ESCOLA MUNICIPAL PRESIDENTE JOAO GOULART,96.3,95.8,98,96.7,96.1,95.1,0.963301,181.11,176.28,4.625441,4.5
11,-43.2577984620533,-22.921908763369,16240.0,209025,Escola Municipal Francisco Campos,"Rua Nossa Senhora de Lourdes, 175  ",Grajau,2.0,1.0,{E8DBF178-605C-4864-B88D-01762E569F01},2.16,,,,,,,,,,,,,,,,,,,,,,,,,
12,-43.2647087311187,-22.923051343103,16241.0,209026,Escola Municipal Professor Lourenço Filho,"Pça. Edmundo Rego, 11  ",Grajau,2.0,1.0,{C38BDC45-2D1D-4E98-8E6A-62AA65FEF0C5},2.14,33068380.0,ESCOLA MUNICIPAL PROFESSOR LOURENCO FILHO,98.3,100,96.0,98.9,100.0,0.986975,238.51,244.75,4.721,4.7,,,,,,,,,,,,,
13,-43.2741906257421,-22.8844776875332,16242.0,312012,Escola Municipal Manoel Bomfim,"Rua Braque, 31  ",Del Castilho,3.0,1.0,{B47DFC4B-B952-408C-AC73-45815CEA797C},3.13,33072965.0,ESCOLA MUNICIPAL MANOEL BOMFIM,100.0,100,100.0,100.0,100.0,1.0,246.74,262.69,5.157167,5.2,,,,,,,,,,,,,
14,-43.2891833940129,-22.8682751104063,16243.0,312014,Escola Municipal Nereu Sampaio,"Rua Nunes Viana, S/Nº  ",Inhauma,3.0,1.0,{6D66B79D-AA7A-4BE6-A318-2A7A3CA6C1AB},3.18,33073058.0,ESCOLA MUNICIPAL NEREU SAMPAIO,100.0,100,100.0,100.0,100.0,1.0,236.4,237.72,4.568667,4.6,,,,,,,,,,,,,
15,-43.2861149965689,-22.8704522702343,16244.0,312019,Escola Municipal Olavo Josino de Salles,"Rua Guarapuava, S/Nº  ",Inhauma,3.0,1.0,{A5E9D524-AE4E-4BA8-8C4D-84ECF51E6630},3.18,,,,,,,,,,,,,33073074.0,ESCOLA MUNICIPAL OLAVO JOSINO DE SALLES,100.0,100,100,100,100,100.0,1.0,189.89,172.06,4.716271,4.7
16,-43.2749075959158,-22.8795254168857,16245.0,312502,CIEP Procópio Ferreira,"Praça da Confederação Suíça, S/Nº  ",Del Castilho,3.0,3.0,{6C8B0386-B7EA-4AD2-9DA3-3D821744101D},3.14,,,,,,,,,,,,,,,,,,,,,,,,,
17,-43.2765922618338,-22.8723654782434,16246.0,312503,CIEP Coronel Sarmento,"Av. Itaóca, S/Nº  ",Inhauma,3.0,3.0,{ABA34DFE-7B5C-41B3-A199-75C511A109C4},3.19,,,,,,,,,,,,,,,,,,,,,,,,,
18,-43.2800749146219,-22.904026076948,16247.0,313020,Escola Municipal Bento Ribeiro,"Rua Cônego Tobias, 112  ",Meier,3.0,1.0,{7AADCDFC-B07C-446C-A789-1E82180C9DBD},3.4,33072574.0,ESCOLA MUNICIPAL BENTO RIBEIRO,100.0,100,100.0,100.0,100.0,1.0,258.79,259.6,5.3065,5.3,,,,,,,,,,,,,
19,-43.2734356519571,-22.8868261798432,16248.0,313027,Escola Municipal Jean Mermoz,"Rua São Gabriel, 261  ",Cachambi,3.0,1.0,{823488AF-A168-42CA-87C3-182E09E7FDDB},3.13,,,,,,,,,,,,,33072841.0,ESCOLA MUNICIPAL JEAN MERMOZ,100.0,100,100,100,100,100.0,1.0,233.0,222.3,6.452436,6.5
20,-43.3080735005075,-22.8841530955239,16249.0,313044,Escola Municipal João Kopke,"Rua Souza Cerqueira, 63  ",Piedade,3.0,1.0,{E612325B-D79F-44F7-B3B8-FE5EE9EB5F52},3.8,33072850.0,ESCOLA MUNICIPAL JOAO KOPKE,98.4,97,97.5,100.0,100.0,0.986055,263.25,271.51,5.579333,5.5,,,,,,,,,,,,,
21,-43.2541463846537,-22.8853304902679,16250.0,328501,CIEP Vinicius de Moraes,"Av. Dom Hélder Câmara, 1.715  ",Jacarezinho,3.0,3.0,{A472181B-517E-45B8-AF9F-DD71BDD82C82},3.12,,,,,,,,,,,,,,,,,,,,,,,,,
22,-43.2777522376134,-22.8530365291494,16251.0,410502,CIEP Maestro Francisco Mignone,"Rua Itapé, S/Nº  ",Olaria,4.0,3.0,{E9E3E7EE-0EE4-4AD9-B009-ED81DB8B71ED},4.15,,,,,,,,,,,,,,,,,,,,,,,,,
23,-43.2752120391178,-22.8389769125169,16252.0,411009,Escola Municipal Cientista Mário Kroeff,"Rua do Couto, 91  ",Penha,4.0,1.0,{9019E4B5-0A1F-4A93-B1E4-07A109F19F94},4.13,33070334.0,ESCOLA MUNICIPAL CIENTISTA MARIO KROEFF,96.9,98.5,98.0,95.7,96.1,0.970603,250.89,254.03,5.082,4.9,,,,,,,,,,,,,
24,-43.3125783514874,-22.8378429498689,16253.0,411020,Escola Municipal Grécia,"Av. Brás de Pina, 1.614  ",Bráz de Pina,4.0,1.0,{961C0E67-839B-4FF1-BCD3-7F4D1205C0A6},5.3,33070113.0,ESCOLA MUNICIPAL GRECIA,100.0,100,100.0,100.0,100.0,1.0,250.4,264.13,5.242167,5.2,,,,,,,,,,,,,
25,-43.3045756208875,-22.844839725507,16254.0,411021,Escola Municipal Miguel Ângelo,"Rua Carlos Chamberland, 187  ",Penha Circular,4.0,1.0,{132716E0-2D5F-4B8F-9B02-27F2B988F80E},5.2,,,,,,,,,,,,,33074593.0,ESCOLA MUNICIPAL MIGUEL ANGELO,99.1,100,100,98,100,98.4,0.99272,208.77,202.14,5.623486,5.6
26,-43.2877395981384,-22.8271499775145,16255.0,411028,Escola Municipal São Paulo,"Rua Tailândia, 160  ",Bráz de Pina,4.0,1.0,{91D276A0-FA90-45C4-9AE0-176418FA123A},4.14,33070865.0,ESCOLA MUNICIPAL SAO PAULO,98.7,99,97.4,99.2,100.0,0.988909,249.19,256.3,5.0915,5.0,,,,,,,,,,,,,
27,-43.3036083983757,-22.8152826457318,16256.0,431017,Escola Municipal Cardeal Câmara,"Rua Anamá, 98  ",Vigário Geral,4.0,1.0,{C33575B2-1999-4636-AEEA-4C64470F7171},4.23,33070490.0,ESCOLA MUNICIPAL CARDEAL CAMARA,99.4,99.5,98.9,99.4,100.0,0.994485,241.55,242.86,4.740167,4.7,33070490.0,ESCOLA MUNICIPAL CARDEAL CAMARA,100.0,-,-,-,100,100.0,1.0,194.6,186.79,5.073975,5.1
28,-43.321835645487,-22.8116733404662,16257.0,431026,Escola Municipal Herbert Moses,"Rua Cristiano Machado, S/Nº  ",Jardim America,4.0,1.0,{A7F8FCA5-0EA1-4738-9225-0762A6A44AAD},4.26,33070610.0,ESCOLA MUNICIPAL HERBERT MOSES,100.0,100,100.0,100.0,100.0,1.0,244.21,248.26,4.8745,4.9,,,,,,,,,,,,,
29,-43.3162752222464,-22.8568511002148,16262.0,514005,Escola Municipal Bolívia,"Pça. Cotegi, 211  ",Vicente de Carvalho,5.0,1.0,{9E5E388E-F1F1-4EF9-9D3C-AD98560FC14B},5.5,,,,,,,,,,,,,,,,,,,,,,,,,
30,-43.3235066670729,-22.8381715407151,16263.0,514020,Escola Municipal José do Patrocínio,"Rua Gustavo de Andrade, 270  ",Irajá,5.0,1.0,{3C965CE7-E96D-417C-8C7B-FBA05DD1836E},5.3,33074496.0,ESCOLA MUNICIPAL JOSE DO PATROCINIO,100.0,100,100.0,100.0,100.0,1.0,267.57,277.3,5.747833,5.7,,,,,,,,,,,,,
31,-43.3267448217565,-22.8241950491997,16264.0,514029,Escola Municipal Malba Tahan,"Av. Brasil, 17.221  ",Irajá,5.0,1.0,{2AED7EBB-2101-4555-A729-DE8EB5DA6092},5.4,33074534.0,ESCOLA MUNICIPAL MALBA TAHAN,100.0,-,100.0,100.0,100.0,1.0,253.38,261.08,5.241,5.2,,,,,,,,,,,,,
32,-43.349201859214,-22.8410046147687,16265.0,515002,Escola Municipal Itália,"Av. dos Italianos, 992  ",Rocha Miranda,5.0,1.0,{A3A2EFEF-BD86-4784-844E-DD91EE55C6E4},5.9,33074461.0,ESCOLA MUNICIPAL ITALIA,99.4,98.5,100.0,99.2,100.0,0.99421,255.15,256.76,5.1985,5.2,,,,,,,,,,,,,
33,-43.343547783748,-22.8514367636916,16266.0,515005,Escola Municipal Oswaldo Aranha,"Pça. Carlos Toledo, 29  ",Rocha Miranda,5.0,1.0,{981A25E8-486D-4708-9921-33CD543763F7},5.10,,,,,,,,,,,,,33074631.0,ESCOLA MUNICIPAL OSWALDO ARANHA,99.8,100,100,99.2,100,100.0,0.99839,207.91,191.47,5.413074,5.4
34,-43.3662109859077,-22.8624628269962,16267.0,515026,Escola Municipal Paraguai,"Pça. Lautaro, 10  ",Marechal Hermes,5.0,1.0,{C343754B-F3CC-4476-A2C0-9C3917104F72},5.14,,,,,,,,,,,,,33076286.0,ESCOLA MUNICIPAL PARAGUAI,100.0,100,100,100,100,100.0,1.0,235.64,228.75,6.62009,6.6
35,-43.3142658595181,-22.8798745465153,16268.0,515038,Escola Municipal França,"Rua Padre Manoel de Nóbrega, 725  ",Quintino Bocaiuva,5.0,1.0,{69D33E1E-7043-488E-8243-6ACC146379A8},5.12,33076138.0,ESCOLA MUNICIPAL FRANCA,96.9,96.4,98.4,97.1,95.8,0.969154,249.65,253.73,5.056333,4.9,33076138.0,ESCOLA MUNICIPAL FRANCA,97.8,98.4,97.3,97.5,100,95.8,0.977805,210.71,198.96,5.60269,5.5
36,-43.3189422093325,-22.8872914867824,16269.0,515039,Escola Municipal Quintino Bocaiuva,"Rua Vital, 152  ",Quintino Bocaiuva,5.0,1.0,{79672BE4-46D8-4658-AAA5-2EF8BEEB3BB1},5.15,,,,,,,,,,,,,,,,,,,,,,,,,
37,-43.3285943753622,-22.8860686290219,16270.0,515502,CIEP Professor Manoel Maurício Albuquerque,"Rua Ferraz, 2  ",Cascadura,5.0,3.0,{28565713-0E82-40F6-9261-38AF4DB2F3B2},5.16,,,,,,,,,,,,,33075069.0,CIEP PROFESSOR MANOEL MAURICIO DE ALBUQUERQUE,100.0,100,100,100,100,100.0,1.0,207.81,188.75,5.361711,5.4
38,-43.3257505678393,-22.8771418328537,16271.0,515503,CIEP Metalúrgico Benedito Cerqueira,"Rua Sidônio Paes, 227  ",Engenheiro Leal,5.0,3.0,{6613F76D-28BD-47C1-B347-744BBA448290},5.12,,,,,,,,,,,,,33075077.0,CIEP METALURGICO BENEDITO CERQUEIRA,99.3,100,98.2,100,98.4,100.0,0.99313,186.02,162.6,4.470416,4.4
39,-43.402925086328,-22.8263757879821,16272.0,622004,Escola Municipal Paraíba,"Estr. Marechal Alencastro, 4.035  ",Parque Anchieta,6.0,1.0,{6EA6C612-BA5B-4185-BFD6-B0127D91757A},6.18,,,,,,,,,,,,,,,,,,,,,,,,,
40,-43.4052541802072,-22.8315556321941,16273.0,622006,Escola Municipal Antenor Nascentes,"Rua Romeu Casa Grande, 37  ",Parque Anchieta,6.0,1.0,{9F3C558B-7D28-4493-A1C3-4C57C8EF4FD8},6.18,33086877.0,ESCOLA MUNICIPAL ANTENOR NASCENTES,97.8,96.4,98.8,97.0,99.3,0.978601,253.0,255.11,5.135167,5.0,,,,,,,,,,,,,
41,-43.3518807861378,-22.825047789294,16274.0,625006,Escola Municipal Erico Veríssimo,"Rua Brigadeiro Ovídio Beraldo, 275  ",Coelho Neto,6.0,1.0,{DF8D7984-86BF-4760-BDB3-E3A14F060B00},6.7,,,,,,,,,,,,,,,,,,,,,,,,,
42,-43.3577976608304,-22.8078183695524,16275.0,625028,Escola Municipal Deputado Hilton Gama,"Pça. Ênio, S/Nº  ",Pavuna,6.0,1.0,{CE3BAE2E-4AEE-4BA5-983A-92171F9AD656},6.1,33087008.0,ESCOLA MUNICIPAL DEPUTADO HILTON GAMA,100.0,100,100.0,100.0,100.0,1.0,238.23,244.75,4.716333,4.7,,,,,,,,,,,,,
43,-43.3686132335555,-22.8261762623923,16276.0,625204,CIEP Rubens Gomes,"Rua Funcionário Mestre Macedo, S/Nº  ",Costa Barros,6.0,3.0,{D3AD4E75-6D3C-4FB2-A4EA-F10A30404C3E},6.10,,,,,,,,,,,,,,,,,,,,,,,,,
44,-43.4162920115672,-22.9188432423136,16277.0,716001,Escola Municipal Francis Hime,"Estr. Pau da Fome, 196  ",Jacarepagua,7.0,1.0,{6BB9DDA9-8240-4683-A924-896576F31A19},7.8,33077894.0,ESCOLA MUNICIPAL FRANCIS HIME,99.2,100,100.0,99.3,97.4,0.991635,268.92,269.23,5.635833,5.6,33077894.0,ESCOLA MUNICIPAL FRANCIS HIME,98.3,100,98.3,97.1,100,95.4,0.981281,227.0,220.49,6.305023,6.2
45,-43.353478902939,-22.9607327747806,16278.0,716014,Escola Municipal Professora Helena Lopes Abranches,"Rua Acapori, 495  ",Gardênia Azul,7.0,1.0,{482CA7C2-9419-44EA-A05C-753A65326038},7.17,,,,,,,,,,,,,33078289.0,ESCOLA MUNICIPAL PROFESSORA HELENA LOPES ABRANCHES,97.0,98,95.2,97.5,98.8,95.4,0.969587,199.04,184.81,5.122708,5.0
46,-43.3424990101515,-22.938622482821,16279.0,716025,Escola Municipal Edgard Werneck,"Rua Mamoré, 76 - Fundos",Freguesia (Jacarepaguá),7.0,1.0,{D16B3431-B971-4B2D-AB5B-0FC7B5A7886B},7.7,,,,,,,,,,,,,,,,,,,,,,,,,
47,-43.3906098805843,-22.9505657762575,16280.0,716035,Escola Municipal Silveira Sampaio,"Rua José Perrota, 31  ",Curicica,7.0,1.0,{BB74DDB1-BD2C-435C-8642-06E4D99D883D},7.9,,,,,,,,,,,,,,,,,,,,,,,,,
48,-43.362217267103,-22.9229942794053,16281.0,716054,Escola Municipal Pio X,"Rua Serra Negra, 103  ",Tanque,7.0,1.0,{65D39E7B-1B55-406B-A9D2-0EF278E0A5CE},7.6,33078246.0,ESCOLA MUNICIPAL PIO X,99.8,100,99.1,100.0,100.0,0.997735,264.89,270.18,5.5845,5.6,,,,,,,,,,,,,
49,-43.354117192118,-22.8971600290385,16282.0,716063,Escola Municipal Sobral Pinto,"Rua Barão, 1.180  ",Praça Seca,7.0,1.0,{22B7C0FC-EF89-4AAB-8E8C-11749EDFF05E},7.2,33078351.0,ESCOLA MUNICIPAL SOBRAL PINTO,99.5,100,99.2,98.8,100.0,0.994973,259.34,267.69,5.4505,5.4,,,,,,,,,,,,,
50,-43.3833319156748,-23.0031658065074,16283.0,724006,Escola Municipal Professor Albert Einstein,"Rua Guimarães Rosa, 166 - Novo Leblon",Barra da Tijuca,7.0,1.0,{EB6F00C5-50EA-4691-9935-F02C27F4257E},7.30,33087881.0,ESCOLA MUNICIPAL PROFESSOR ALBERT EINSTEIN,100.0,-,100.0,100.0,100.0,1.0,262.89,262.08,5.416167,5.4,,,,,,,,,,,,,
51,-43.4916815725089,-22.9817387281918,16284.0,724019,Escola Municipal Professor Teófilo Moreira da Costa,"Rua Esperança, 387  ",Vargem Grande,7.0,1.0,{8BA4D653-A5C2-4B60-BAD7-2E049BB9B8E1},7.25,,,,,,,,,,,,,33078300.0,ESCOLA MUNICIPAL PROFESSOR TEOFILO MOREIRA DA COSTA,99.5,-,-,-,100,99.0,0.994975,208.9,197.76,5.54633,5.5
52,-43.6450678869301,-22.9220072977207,16285.0,1019205,CIEP Roberto Morena,"Av. Cesário de Melo, 11.485  ",Paciência,10.0,3.0,{D1B85274-801D-4376-9E80-A7ED7E00AFE8},10.17,,,,,,,,,,,,,33084149.0,CIEP ROBERTO MORENA,99.5,100,98.8,98.8,100,100.0,0.995165,216.45,201.39,5.756414,5.7
53,-43.3010881041211,-22.808565993366,16286.0,431501,CIEP Mestre Cartola (Agenor de Oliveira),"Rua da Democracia, S/Nº  ",Parada de Lucas,4.0,3.0,{F923AC42-809A-4B90-8A1C-1E102024E591},4.23,,,,,,,,,,,,,33069824.0,CIEP MESTRE CARTOLA AGENOR DE OLIVEIRA,97.4,100,100,98,92.9,98.9,0.978865,192.0,176.24,4.832539,4.7
54,-43.2836399122329,-22.8512551674675,16287.0,411502,CIEP Deputado José Carlos Brandão Monteiro,"Rua São Vicente de Paula, 625  ",Olaria,4.0,3.0,{59920059-E72C-411A-B057-FEDEAB65E8C0},4.17,,,,,,,,,,,,,33069816.0,CIEP DEPUTADO JOSE CARLOS BRANDAO MONTEIRO,99.2,100,100,100,96.2,100.0,0.992162,189.12,169.2,4.649577,4.6
55,-43.2534200273859,-22.8395885174516,16290.0,430503,CIEP Leonel de Moura Brizola,"Av. Brasil, 8666",Maré,4.0,3.0,{C89FB922-B019-4EDC-97F0-6E88DD8936C0},4.11,,,,,,,,,,,,,33068720.0,CIEP LEONEL DE MOURA BRIZOLA,100.0,100,100,100,100,100.0,1.0,205.82,195.85,5.452824,5.5
56,-43.3519399608921,-22.8791650507881,16291.0,515015,Escola Municipal Padre Dehon,"Rua Maria José, S/Nº",Oswaldo Cruz,5.0,1.0,{56C97EC0-AB4F-4121-8F6C-7D2F06699E93},5.17,,,,,,,,,,,,,,,,,,,,,,,,,
57,-43.4084088036274,-22.8372416668665,16292.0,622002,Escola Municipal Antônio Maceo,"Rua Banistéria, S/Nº  ",Parque Anchieta,6.0,1.0,{29E54D03-31B4-4CA7-B006-869F0927A115},6.17,,,,,,,,,,,,,33086893.0,ESCOLA MUNICIPAL ANTONIO MACEO,99.3,98.7,98.8,100,99,100.0,0.992966,212.55,200.59,5.667441,5.6
58,-43.4184731840904,-22.8294808164617,16293.0,622201,CIEP Poeta Fernando Pessoa,"Rua Silvestre Felipe, S/Nº  ",Parque Anchieta,6.0,3.0,{8F97D005-1980-40F2-B167-E27309A80448},6.18,,,,,,,,,,,,,,,,,,,,,,,,,
